"SpeciesGroup","SpeciesName","OperationYear","AreaName","SpeciesCode","CompanyCount_taxID","TotalNetWeight","TotalWholesaleValue","WholesalePricePerlb"
"salmon"," pink",1984,"Bristol Bay",440,21,"6240303"," 7674203 "," 1.23 "
"salmon"," roe (unknown species)",1984,"Bristol Bay",400,30,"3478305"," 11776249 "," 3.39 "
"salmon"," sockeye",1984,"Bristol Bay",420,33,"86494331"," 161416119 "," 1.87 "
"salmon"," chinook",1984,"Chignik",410,8,"23088"," 50293 "," 2.18 "
"salmon"," chum",1984,"Chignik",450,7,"1025992"," 905168 "," 0.88 "
"salmon"," coho",1984,"Chignik",430,4,"515636"," 929851 "," 1.80 "
"salmon"," pink",1984,"Chignik",440,6,"1500778"," 918582 "," 0.61 "
"salmon"," roe (unknown species)",1984,"Chignik",400,7,"427831"," 1698265 "," 3.97 "
"salmon"," sockeye",1984,"Chignik",420,10,"9205764"," 17559247 "," 1.91 "
"clam"," Pacific razor",1984,"Cook Inlet",830,4,"202046"," 476270 "," 2.36 "
"cod"," Pacific (gray)",1984,"Cook Inlet",110,3,"2950"," 2398 "," 0.81 "
"crab"," Dungeness",1984,"Cook Inlet",910,5,"617924"," 1593438 "," 2.58 "
"halibut"," Pacific",1984,"Cook Inlet",200,22,"6341483"," 8546350 "," 1.35 "
"herring"," bait",1984,"Cook Inlet",233,5,"1109579"," 393331 "," 0.35 "
"herring"," with sac roe",1984,"Cook Inlet",234,4,"4536920"," 3059950 "," 0.67 "
"rockfish"," red",1984,"Cook Inlet",140,4,"36611"," 50813 "," 1.39 "
"sablefish (blackcod)","",1984,"Cook Inlet",710,3,"2489413"," 2709222 "," 1.09 "
"salmon"," chinook",1984,"Cook Inlet",410,22,"632272"," 1808916 "," 2.86 "
"salmon"," chum",1984,"Cook Inlet",450,25,"6896671"," 8207609 "," 1.19 "
"salmon"," coho",1984,"Cook Inlet",430,25,"3291029"," 6091568 "," 1.85 "
"salmon"," pink",1984,"Cook Inlet",440,20,"20058210"," 28984416 "," 1.45 "
"salmon"," roe (unknown species)",1984,"Cook Inlet",400,17,"1706309"," 4104890 "," 2.41 "
"salmon"," sockeye",1984,"Cook Inlet",420,27,"12971496"," 30197183 "," 2.33 "
"shrimp"," general",1984,"Cook Inlet",960,9,"384058"," 1409863 "," 3.67 "
"cod"," Pacific (gray)",1984,"Dutch Harbor",110,6,"4688635"," 4659563 "," 0.99 "
"crab"," Dungeness",1984,"Dutch Harbor",910,5,"151104"," 399549 "," 2.64 "
"crab"," Tanner (general)",1984,"Dutch Harbor",930,4,"8077320"," 15819406 "," 1.96 "
"crab"," hair",1984,"Dutch Harbor",940,4,"261155"," 680531 "," 2.61 "
"crab"," king (general)",1984,"Dutch Harbor",920,9,"3295178"," 18092512 "," 5.49 "
"halibut"," Pacific",1984,"Dutch Harbor",200,4,"1045073"," 1306851 "," 1.25 "
"herring"," bait",1984,"Dutch Harbor",233,3,"786931"," 211760 "," 0.27 "
"herring"," food",1984,"Dutch Harbor",235,3,"5752499"," 1733837 "," 0.30 "
"perch"," Pacific ocean",1984,"Dutch Harbor",141,4,"1689588"," 1224399 "," 0.72 "
"sablefish (blackcod)","",1984,"Dutch Harbor",710,5,"577597"," 607757 "," 1.05 "
"salmon"," chinook",1984,"Dutch Harbor",410,5,"56809"," 111507 "," 1.96 "
"salmon"," chum",1984,"Dutch Harbor",450,5,"2226078"," 2601491 "," 1.17 "
"salmon"," pink",1984,"Dutch Harbor",440,3,"8927424"," 10810310 "," 1.21 "
"salmon"," roe (unknown species)",1984,"Dutch Harbor",400,4,"680076"," 2628576 "," 3.87 "
"salmon"," sockeye",1984,"Dutch Harbor",420,5,"3128377"," 6947951 "," 2.22 "
"crab"," Dungeness",1984,"Juneau/Yakutat",910,9,"309574"," 751390 "," 2.43 "
"crab"," king (general)",1984,"Juneau/Yakutat",920,5,"20888"," 111891 "," 5.36 "
"halibut"," Pacific",1984,"Juneau/Yakutat",200,23,"2152576"," 2121411 "," 0.99 "
"rockfish"," red",1984,"Juneau/Yakutat",140,7,"11712"," 16994 "," 1.45 "
"sablefish (blackcod)","",1984,"Juneau/Yakutat",710,9,"770523"," 624932 "," 0.81 "
"salmon"," chinook",1984,"Juneau/Yakutat",410,28,"646493"," 2398772 "," 3.71 "
"salmon"," chum",1984,"Juneau/Yakutat",450,24,"5837915"," 6748209 "," 1.16 "
"salmon"," coho",1984,"Juneau/Yakutat",430,31,"3087430"," 6553923 "," 2.12 "
"salmon"," pink",1984,"Juneau/Yakutat",440,26,"7563169"," 8479109 "," 1.12 "
"salmon"," roe (unknown species)",1984,"Juneau/Yakutat",400,10,"651499"," 1456684 "," 2.24 "
"salmon"," sockeye",1984,"Juneau/Yakutat",420,31,"1615849"," 3280351 "," 2.03 "
"scallop"," weathervane",1984,"Juneau/Yakutat",850,3,"82107"," 393348 "," 4.79 "
"shrimp"," general",1984,"Juneau/Yakutat",960,3,"4108"," 21748 "," 5.29 "
"crab"," Dungeness",1984,"Ketchikan/Craig",910,8,"63297"," 121428 "," 1.92 "
"crab"," king (general)",1984,"Ketchikan/Craig",920,4,"10566"," 40197 "," 3.80 "
"halibut"," Pacific",1984,"Ketchikan/Craig",200,8,"776281"," 852326 "," 1.10 "
"herring"," with sac roe",1984,"Ketchikan/Craig",234,6,"3161422"," 2573562 "," 0.81 "
"lingcod","",1984,"Ketchikan/Craig",130,5,"12489"," 6473 "," 0.52 "
"rockfish"," red",1984,"Ketchikan/Craig",140,8,"89201"," 61914 "," 0.69 "
"sablefish (blackcod)","",1984,"Ketchikan/Craig",710,4,"257363"," 226244 "," 0.88 "
"salmon"," chinook",1984,"Ketchikan/Craig",410,20,"613010"," 2093207 "," 3.41 "
"salmon"," chum",1984,"Ketchikan/Craig",450,18,"5334414"," 6652023 "," 1.25 "
"salmon"," coho",1984,"Ketchikan/Craig",430,23,"2577650"," 5096952 "," 1.98 "
"salmon"," pink",1984,"Ketchikan/Craig",440,16,"27636182"," 32639551 "," 1.18 "
"salmon"," roe (unknown species)",1984,"Ketchikan/Craig",400,10,"1423517"," 3193448 "," 2.24 "
"salmon"," sockeye",1984,"Ketchikan/Craig",420,18,"1379872"," 2989870 "," 2.17 "
"shrimp"," general",1984,"Ketchikan/Craig",960,17,"104764"," 450176 "," 4.30 "
"trout"," steelhead",1984,"Ketchikan/Craig",540,5,"18748"," 35835 "," 1.91 "
"clam"," Pacific razor",1984,"Kodiak",830,3,"28436"," 31354 "," 1.10 "
"cod"," Pacific (gray)",1984,"Kodiak",110,10,"1502899"," 857956 "," 0.57 "
"crab"," Dungeness",1984,"Kodiak",910,11,"4871681"," 12053639 "," 2.47 "
"crab"," Tanner (general)",1984,"Kodiak",930,11,"7440327"," 20488507 "," 2.75 "
"crab"," Tanner, bairdi",1984,"Kodiak",931,3,"1672990"," 3040011 "," 1.82 "
"crab"," king (general)",1984,"Kodiak",920,7,"755719"," 4541057 "," 6.01 "
"halibut"," Pacific",1984,"Kodiak",200,12,"12721847"," 15325751 "," 1.20 "
"herring"," bait",1984,"Kodiak",233,4,"47944"," 20231 "," 0.42 "
"herring"," with sac roe",1984,"Kodiak",234,6,"2918691"," 1970653 "," 0.68 "
"lingcod","",1984,"Kodiak",130,3,"1908"," 2481 "," 1.30 "
"octopus"," North Pacific",1984,"Kodiak",870,3,"15681"," 12136 "," 0.77 "
"pollock"," walleye",1984,"Kodiak",270,4,"610625"," 231069 "," 0.38 "
"rockfish"," black",1984,"Kodiak",142,3,"16434"," 23702 "," 1.44 "
"rockfish"," red",1984,"Kodiak",140,6,"11556"," 4776 "," 0.41 "
"sablefish (blackcod)","",1984,"Kodiak",710,6,"2310631"," 2411757 "," 1.04 "
"salmon"," chinook",1984,"Kodiak",410,17,"186608"," 413161 "," 2.21 "
"salmon"," chum",1984,"Kodiak",450,20,"5917415"," 6423771 "," 1.09 "
"salmon"," coho",1984,"Kodiak",430,19,"2232905"," 4189250 "," 1.88 "
"salmon"," pink",1984,"Kodiak",440,20,"38421925"," 47776730 "," 1.24 "
"salmon"," roe (unknown species)",1984,"Kodiak",400,18,"2890570"," 7535696 "," 2.61 "
"salmon"," sockeye",1984,"Kodiak",420,22,"21105332"," 40748038 "," 1.93 "
"scallop"," weathervane",1984,"Kodiak",850,7,"283317"," 1503302 "," 5.31 "
"herring"," with sac roe",1984,"Kuskokwim",234,4,"1450706"," 823942 "," 0.57 "
"salmon"," chinook",1984,"Kuskokwim",410,6,"849302"," 1702642 "," 2.00 "
"salmon"," chum",1984,"Kuskokwim",450,5,"2757745"," 2765846 "," 1.00 "
"salmon"," coho",1984,"Kuskokwim",430,5,"5217693"," 8190657 "," 1.57 "
"salmon"," pink",1984,"Kuskokwim",440,4,"69714"," 48743 "," 0.70 "
"salmon"," roe (unknown species)",1984,"Kuskokwim",400,3,"374176"," 1724016 "," 4.61 "
"salmon"," sockeye",1984,"Kuskokwim",420,5,"962354"," 1209679 "," 1.26 "
"crab"," king (general)",1984,"Norton Sound",920,3,"813787"," 3969452 "," 4.88 "
"herring"," with sac roe",1984,"Norton Sound",234,5,"6003032"," 3948220 "," 0.66 "
"salmon"," chum",1984,"Norton Sound",450,3,"735679"," 329135 "," 0.45 "
"crab"," Dungeness",1984,"Petersburg/Wrangell",910,7,"514878"," 1958409 "," 3.80 "
"halibut"," Pacific",1984,"Petersburg/Wrangell",200,11,"2109835"," 2997085 "," 1.42 "
"lingcod","",1984,"Petersburg/Wrangell",130,4,"6156"," 7159 "," 1.16 "
"rockfish"," red",1984,"Petersburg/Wrangell",140,7,"86266"," 108871 "," 1.26 "
"sablefish (blackcod)","",1984,"Petersburg/Wrangell",710,6,"496998"," 503747 "," 1.01 "
"salmon"," chinook",1984,"Petersburg/Wrangell",410,15,"599097"," 2127756 "," 3.55 "
"salmon"," chum",1984,"Petersburg/Wrangell",450,12,"9844272"," 11477082 "," 1.17 "
"salmon"," coho",1984,"Petersburg/Wrangell",430,15,"2326486"," 5338309 "," 2.29 "
"salmon"," pink",1984,"Petersburg/Wrangell",440,11,"18060432"," 22807434 "," 1.26 "
"salmon"," roe (unknown species)",1984,"Petersburg/Wrangell",400,7,"1831292"," 4412444 "," 2.41 "
"salmon"," sockeye",1984,"Petersburg/Wrangell",420,13,"1999556"," 4399522 "," 2.20 "
"shrimp"," general",1984,"Petersburg/Wrangell",960,22,"179605"," 560605 "," 3.12 "
"trout"," steelhead",1984,"Petersburg/Wrangell",540,3,"10117"," 15800 "," 1.56 "
"clam"," Pacific razor",1984,"Prince William Sound",830,3,"106558"," 113349 "," 1.06 "
"cod"," Pacific (gray)",1984,"Prince William Sound",110,3,"978"," 629 "," 0.64 "
"crab"," Dungeness",1984,"Prince William Sound",910,4,"700056"," 1666274 "," 2.38 "
"halibut"," Pacific",1984,"Prince William Sound",200,13,"462749"," 375418 "," 0.81 "
"herring"," roe on kelp",1984,"Prince William Sound",231,3,"35882"," 251514 "," 7.01 "
"herring"," roe only",1984,"Prince William Sound",232,3,"150704"," 258146 "," 1.71 "
"herring"," with sac roe",1984,"Prince William Sound",234,4,"2611759"," 1524915 "," 0.58 "
"rockfish"," red",1984,"Prince William Sound",140,6,"43187"," 56509 "," 1.31 "
"sablefish (blackcod)","",1984,"Prince William Sound",710,6,"1299393"," 1473143 "," 1.13 "
"salmon"," chinook",1984,"Prince William Sound",410,14,"756124"," 2355234 "," 3.11 "
"salmon"," chum",1984,"Prince William Sound",450,12,"2830522"," 3384820 "," 1.20 "
"salmon"," coho",1984,"Prince William Sound",430,14,"4271679"," 8528461 "," 2.00 "
"salmon"," pink",1984,"Prince William Sound",440,9,"18056757"," 21240456 "," 1.18 "
"salmon"," roe (unknown species)",1984,"Prince William Sound",400,14,"1962949"," 5209547 "," 2.65 "
"salmon"," sockeye",1984,"Prince William Sound",420,20,"5857982"," 13325734 "," 2.27 "
"shrimp"," general",1984,"Prince William Sound",960,21,"42094"," 208832 "," 4.96 "
"abalone"," northern (pinto)",1984,"Sitka/Pelican",860,5,"30459"," 41118 "," 1.35 "
"crab"," Dungeness",1984,"Sitka/Pelican",910,7,"484840"," 1170140 "," 2.41 "
"halibut"," Pacific",1984,"Sitka/Pelican",200,8,"3527698"," 4007760 "," 1.14 "
"herring"," with sac roe",1984,"Sitka/Pelican",234,6,"5210578"," 3746311 "," 0.72 "
"lingcod","",1984,"Sitka/Pelican",130,4,"70890"," 34954 "," 0.49 "
"rockfish"," red",1984,"Sitka/Pelican",140,4,"627034"," 517484 "," 0.83 "
"sablefish (blackcod)","",1984,"Sitka/Pelican",710,5,"5032256"," 5348974 "," 1.06 "
"salmon"," chinook",1984,"Sitka/Pelican",410,16,"1915655"," 7046990 "," 3.68 "
"salmon"," chum",1984,"Sitka/Pelican",450,14,"1911694"," 2289259 "," 1.20 "
"salmon"," coho",1984,"Sitka/Pelican",430,20,"4437740"," 11488676 "," 2.59 "
"salmon"," pink",1984,"Sitka/Pelican",440,14,"1604376"," 1327503 "," 0.83 "
"salmon"," roe (unknown species)",1984,"Sitka/Pelican",400,8,"121727"," 370555 "," 3.04 "
"salmon"," sockeye",1984,"Sitka/Pelican",420,12,"595912"," 1286119 "," 2.16 "
"scallop"," weathervane",1984,"Sitka/Pelican",850,3,"11303"," 29591 "," 2.62 "
"shrimp"," general",1984,"Sitka/Pelican",960,12,"20258"," 98400 "," 4.86 "
"salmon"," chinook",1984,"Yukon",410,9,"1261201"," 4259016 "," 3.38 "
"salmon"," chum",1984,"Yukon",450,9,"2387373"," 2453238 "," 1.03 "
"salmon"," coho",1984,"Yukon",430,5,"149664"," 271613 "," 1.81 "
"salmon"," roe (unknown species)",1984,"Yukon",400,7,"163427"," 495276 "," 3.03 "
"crab"," king (general)",1985,"Alaska Peninsula",920,3,"541752"," 2972667 "," 5.49 "
"herring"," with sac roe",1985,"Alaska Peninsula",234,3,"1238700"," 1062988 "," 0.86 "
"sablefish (blackcod)","",1985,"Alaska Peninsula",710,3,"1085799"," 1797727 "," 1.66 "
"salmon"," chinook",1985,"Alaska Peninsula",410,10,"439071"," 786030 "," 1.79 "
"salmon"," chum",1985,"Alaska Peninsula",450,10,"8441134"," 10746139 "," 1.27 "
"salmon"," coho",1985,"Alaska Peninsula",430,10,"2165821"," 3416467 "," 1.58 "
"salmon"," pink",1985,"Alaska Peninsula",440,9,"12701241"," 12248447 "," 0.96 "
"salmon"," roe (unknown species)",1985,"Alaska Peninsula",400,4,"1358344"," 4585116 "," 3.38 "
"salmon"," sockeye",1985,"Alaska Peninsula",420,11,"20531055"," 41776027 "," 2.03 "
"crab"," Tanner (general)",1985,"Bering Sea",930,4,"11269310"," 16508057 "," 1.46 "
"crab"," king (general)",1985,"Bering Sea",920,7,"1882539"," 10911306 "," 5.80 "
"crab"," king (general)",1985,"Bristol Bay",920,5,"578031"," 3430982 "," 5.94 "
"herring"," with sac roe",1985,"Bristol Bay",234,17,"38366047"," 26167516 "," 0.68 "
"salmon"," chinook",1985,"Bristol Bay",410,44,"1713668"," 3764916 "," 2.20 "
"salmon"," chum",1985,"Bristol Bay",450,44,"6953807"," 6226076 "," 0.90 "
"salmon"," coho",1985,"Bristol Bay",430,26,"1959990"," 3624460 "," 1.85 "
"salmon"," pink",1985,"Bristol Bay",440,8,"425784"," 451472 "," 1.06 "
"salmon"," roe (unknown species)",1985,"Bristol Bay",400,28,"2239125"," 9093422 "," 4.06 "
"salmon"," sockeye",1985,"Bristol Bay",420,48,"101858900"," 201278593 "," 1.98 "
"salmon"," chinook",1985,"Chignik",410,4,"19735"," 43200 "," 2.19 "
"salmon"," chum",1985,"Chignik",450,5,"599186"," 599252 "," 1.00 "
"salmon"," coho",1985,"Chignik",430,5,"794553"," 1443861 "," 1.82 "
"salmon"," pink",1985,"Chignik",440,5,"1180718"," 969919 "," 0.82 "
"salmon"," roe (unknown species)",1985,"Chignik",400,6,"244080"," 881724 "," 3.61 "
"salmon"," sockeye",1985,"Chignik",420,7,"3033347"," 7556756 "," 2.49 "
"clam"," Pacific razor",1985,"Cook Inlet",830,3,"128349"," 524292 "," 4.08 "
"cod"," Pacific (gray)",1985,"Cook Inlet",110,3,"104387"," 39218 "," 0.38 "
"crab"," Dungeness",1985,"Cook Inlet",910,10,"1086668"," 2480667 "," 2.28 "
"crab"," Tanner (general)",1985,"Cook Inlet",930,4,"1736766"," 6238863 "," 3.59 "
"halibut"," Pacific",1985,"Cook Inlet",200,20,"9582283"," 13950765 "," 1.46 "
"herring"," with sac roe",1985,"Cook Inlet",234,5,"5523440"," 4440012 "," 0.80 "
"rockfish"," red",1985,"Cook Inlet",140,5,"39955"," 60451 "," 1.51 "
"salmon"," chinook",1985,"Cook Inlet",410,23,"1022637"," 2828811 "," 2.77 "
"salmon"," chum",1985,"Cook Inlet",450,24,"8574495"," 11524696 "," 1.34 "
"salmon"," coho",1985,"Cook Inlet",430,22,"3612387"," 6286650 "," 1.74 "
"salmon"," pink",1985,"Cook Inlet",440,20,"19169633"," 21465452 "," 1.12 "
"salmon"," roe (unknown species)",1985,"Cook Inlet",400,15,"2228555"," 5864682 "," 2.63 "
"salmon"," sockeye",1985,"Cook Inlet",420,27,"19328216"," 46156822 "," 2.39 "
"shrimp"," general",1985,"Cook Inlet",960,7,"285758"," 851549 "," 2.98 "
"cod"," Pacific (gray)",1985,"Dutch Harbor",110,5,"7185672"," 3725959 "," 0.52 "
"crab"," Dungeness",1985,"Dutch Harbor",910,3,"29734"," 87162 "," 2.93 "
"crab"," Tanner (general)",1985,"Dutch Harbor",930,7,"23949024"," 37431375 "," 1.56 "
"crab"," king (general)",1985,"Dutch Harbor",920,6,"3491891"," 18260790 "," 5.23 "
"perch"," Pacific ocean",1985,"Dutch Harbor",141,3,"1738992"," 1269592 "," 0.73 "
"sablefish (blackcod)","",1985,"Dutch Harbor",710,5,"3318254"," 4581983 "," 1.38 "
"salmon"," chinook",1985,"Dutch Harbor",410,3,"27065"," 61297 "," 2.26 "
"salmon"," chum",1985,"Dutch Harbor",450,3,"1238588"," 1275701 "," 1.03 "
"salmon"," pink",1985,"Dutch Harbor",440,3,"253737"," 211247 "," 0.83 "
"salmon"," sockeye",1985,"Dutch Harbor",420,3,"2651724"," 6175059 "," 2.33 "
"turbot"," Greenland",1985,"Dutch Harbor",134,3,"30762"," 30732 "," 1.00 "
"cod"," Pacific (gray)",1985,"EEZ",110,8,"8790052"," 9204828 "," 1.05 "
"crab"," Tanner (general)",1985,"EEZ",930,4,"5168420"," 6373388 "," 1.23 "
"crab"," blue king",1985,"EEZ",922,3,"117555"," 587775 "," 5.00 "
"crab"," golden (brown) king",1985,"EEZ",923,3,"437210"," 1711050 "," 3.91 "
"crab"," king (general)",1985,"EEZ",920,3,"754153"," 4049688 "," 5.37 "
"pollock"," walleye",1985,"EEZ",270,5,"3132298"," 2615188 "," 0.83 "
"rockfish"," red",1985,"EEZ",140,5,"2574206"," 2709318 "," 1.05 "
"sablefish (blackcod)","",1985,"EEZ",710,7,"2762301"," 4101585 "," 1.48 "
"cod"," Pacific (gray)",1985,"Juneau/Yakutat",110,3,"1350"," 848 "," 0.63 "
"crab"," Dungeness",1985,"Juneau/Yakutat",910,10,"166321"," 410830 "," 2.47 "
"crab"," king (general)",1985,"Juneau/Yakutat",920,3,"3598"," 15829 "," 4.40 "
"halibut"," Pacific",1985,"Juneau/Yakutat",200,22,"1537270"," 1983563 "," 1.29 "
"rockfish"," red",1985,"Juneau/Yakutat",140,6,"9698"," 6958 "," 0.72 "
"sablefish (blackcod)","",1985,"Juneau/Yakutat",710,7,"260676"," 369478 "," 1.42 "
"salmon"," chinook",1985,"Juneau/Yakutat",410,17,"420130"," 1075096 "," 2.56 "
"salmon"," chum",1985,"Juneau/Yakutat",450,27,"3965682"," 3634667 "," 0.92 "
"salmon"," coho",1985,"Juneau/Yakutat",430,30,"3114364"," 5320448 "," 1.71 "
"salmon"," pink",1985,"Juneau/Yakutat",440,15,"13879716"," 15030620 "," 1.08 "
"salmon"," roe (unknown species)",1985,"Juneau/Yakutat",400,12,"1041506"," 2272386 "," 2.18 "
"salmon"," sockeye",1985,"Juneau/Yakutat",420,27,"2108220"," 4518588 "," 2.14 "
"shrimp"," general",1985,"Juneau/Yakutat",960,9,"4114"," 18874 "," 4.59 "
"abalone"," northern (pinto)",1985,"Ketchikan/Craig",860,3,"14553"," 53892 "," 3.70 "
"cod"," Pacific (gray)",1985,"Ketchikan/Craig",110,3,"8732"," 13887 "," 1.59 "
"crab"," Dungeness",1985,"Ketchikan/Craig",910,8,"54013"," 85908 "," 1.59 "
"halibut"," Pacific",1985,"Ketchikan/Craig",200,10,"955343"," 1028301 "," 1.08 "
"herring"," with sac roe",1985,"Ketchikan/Craig",234,7,"3625930"," 3501005 "," 0.97 "
"lingcod","",1985,"Ketchikan/Craig",130,4,"32368"," 40478 "," 1.25 "
"rockfish"," red",1985,"Ketchikan/Craig",140,7,"131283"," 95798 "," 0.73 "
"sablefish (blackcod)","",1985,"Ketchikan/Craig",710,5,"303628"," 475985 "," 1.57 "
"salmon"," chinook",1985,"Ketchikan/Craig",410,18,"628682"," 1910666 "," 3.04 "
"salmon"," chum",1985,"Ketchikan/Craig",450,21,"5839542"," 5483088 "," 0.94 "
"salmon"," coho",1985,"Ketchikan/Craig",430,23,"3540767"," 6565901 "," 1.85 "
"salmon"," pink",1985,"Ketchikan/Craig",440,20,"33362433"," 32255105 "," 0.97 "
"salmon"," roe (unknown species)",1985,"Ketchikan/Craig",400,12,"1425573"," 3172141 "," 2.23 "
"salmon"," sockeye",1985,"Ketchikan/Craig",420,19,"2586459"," 5966254 "," 2.31 "
"shrimp"," general",1985,"Ketchikan/Craig",960,15,"96486"," 424331 "," 4.40 "
"trout"," steelhead",1985,"Ketchikan/Craig",540,3,"19713"," 37878 "," 1.92 "
"clam"," Pacific razor",1985,"Kodiak",830,4,"18081"," 14846 "," 0.82 "
"cod"," Pacific (gray)",1985,"Kodiak",110,8,"7298885"," 8356902 "," 1.14 "
"crab"," Dungeness",1985,"Kodiak",910,11,"4275660"," 10662334 "," 2.49 "
"crab"," Tanner (general)",1985,"Kodiak",930,9,"7388962"," 22799633 "," 3.09 "
"crab"," king (general)",1985,"Kodiak",920,5,"440448"," 2621195 "," 5.95 "
"halibut"," Pacific",1985,"Kodiak",200,15,"12014442"," 16138099 "," 1.34 "
"herring"," bait",1985,"Kodiak",233,5,"202358"," 89760 "," 0.44 "
"herring"," roe only",1985,"Kodiak",232,3,"239277"," 1129504 "," 4.72 "
"herring"," with sac roe",1985,"Kodiak",234,4,"3260013"," 3448598 "," 1.06 "
"pollock"," walleye",1985,"Kodiak",270,4,"6228303"," 5359630 "," 0.86 "
"rockfish"," red",1985,"Kodiak",140,5,"3890"," 2594 "," 0.67 "
"sablefish (blackcod)","",1985,"Kodiak",710,12,"5850565"," 9673336 "," 1.65 "
"salmon"," chinook",1985,"Kodiak",410,11,"113007"," 241503 "," 2.14 "
"salmon"," chum",1985,"Kodiak",450,10,"5992491"," 7664179 "," 1.28 "
"salmon"," coho",1985,"Kodiak",430,13,"2670147"," 4683886 "," 1.75 "
"salmon"," pink",1985,"Kodiak",440,12,"16332467"," 15537984 "," 0.95 "
"salmon"," roe (unknown species)",1985,"Kodiak",400,10,"1328636"," 4312814 "," 3.25 "
"salmon"," sockeye",1985,"Kodiak",420,13,"9707969"," 23159763 "," 2.39 "
"scallop"," weathervane",1985,"Kodiak",850,5,"128609"," 457400 "," 3.56 "
"herring"," with sac roe",1985,"Kuskokwim",234,6,"4857178"," 3773058 "," 0.78 "
"salmon"," chinook",1985,"Kuskokwim",410,6,"811600"," 1963787 "," 2.42 "
"salmon"," chum",1985,"Kuskokwim",450,5,"1137847"," 1583747 "," 1.39 "
"salmon"," coho",1985,"Kuskokwim",430,4,"1859484"," 3165876 "," 1.70 "
"salmon"," roe (unknown species)",1985,"Kuskokwim",400,3,"317332"," 1424329 "," 4.49 "
"salmon"," sockeye",1985,"Kuskokwim",420,4,"550141"," 1352511 "," 2.46 "
"herring"," with sac roe",1985,"Norton Sound",234,7,"7362810"," 5667087 "," 0.77 "
"cod"," Pacific (gray)",1985,"Petersburg/Wrangell",110,5,"22654"," 17885 "," 0.79 "
"crab"," Dungeness",1985,"Petersburg/Wrangell",910,9,"972546"," 2391550 "," 2.46 "
"crab"," Tanner (general)",1985,"Petersburg/Wrangell",930,3,"263085"," 975467 "," 3.71 "
"halibut"," Pacific",1985,"Petersburg/Wrangell",200,12,"2795654"," 3617171 "," 1.29 "
"herring"," with sac roe",1985,"Petersburg/Wrangell",234,5,"4231713"," 4156805 "," 0.98 "
"lingcod","",1985,"Petersburg/Wrangell",130,4,"6123"," 5318 "," 0.87 "
"rockfish"," red",1985,"Petersburg/Wrangell",140,10,"51661"," 49965 "," 0.97 "
"sablefish (blackcod)","",1985,"Petersburg/Wrangell",710,8,"1277599"," 2060156 "," 1.61 "
"salmon"," chinook",1985,"Petersburg/Wrangell",410,14,"578998"," 1645423 "," 2.84 "
"salmon"," chum",1985,"Petersburg/Wrangell",450,14,"6425529"," 7672204 "," 1.19 "
"salmon"," coho",1985,"Petersburg/Wrangell",430,16,"2569260"," 4979577 "," 1.94 "
"salmon"," pink",1985,"Petersburg/Wrangell",440,12,"44140444"," 48958325 "," 1.11 "
"salmon"," roe (unknown species)",1985,"Petersburg/Wrangell",400,5,"2395791"," 5761034 "," 2.40 "
"salmon"," sockeye",1985,"Petersburg/Wrangell",420,16,"2734837"," 6640236 "," 2.43 "
"shrimp"," general",1985,"Petersburg/Wrangell",960,19,"188537"," 614557 "," 3.26 "
"clam"," Pacific razor",1985,"Prince William Sound",830,5,"64315"," 107471 "," 1.67 "
